Issuer name,Issuer LEI code,Latest position date,Sum short %
Mips AB,549300LZSA4S0L54VQ25,2024-11-13,6.08
Nobia AB,529900MZ8Y3QGPDF6815,2024-11-13,2.12
CANTARGIA AB,549300GKWRT7RXI4VS85,2024-10-16,0.46
Skanska AB,549300UINV5RINHGMG07,2024-11-13,2.92
Modern Times Group MTG AB,549300E8NDODRSX29339,2024-11-13,1.13
Bergman & Beving Aktiebolag,549300RC0HUZSJYJO751,2024-10-22,0.33
AcadeMedia AB,549300H47PGHY4JNKO68,2021-09-07,0.19
Sdiptech AB (publ),549300JBO7VTEGMRW310,2024-11-13,2
BICO Group AB,549300FE4PT8NDXXNK85,2024-11-13,3.11
H & M Hennes & Mauritz AB,529900O5RR7R39FRDM42,2024-11-13,6.54
Knowit Aktiebolag (publ),549300CM6KSG2GY3HV62,2024-11-13,0.65
HANZA AB,549300X0C14ZL28N1L09,2024-11-13,2.39
Cint Group AB (publ),549300KSY3P5G8XC0A34,2024-11-13,5.8
Xspray Pharma AB (publ),549300NGRQCNZ3X4L157,2021-02-25,0.1
Clinical Laserthermia Systems AB,549300TH4O6D9205O691,2024-11-13,0.62
HEXICON AB,9845007784687FEF7569,2024-11-13,1.08
ExpreS2ion Biotech Holding AB,549300FJK50P1ORYJC45,2024-11-13,1.41
Fortnox Aktiebolag,549300MSNMHPC3O60W78,2024-11-12,5.43
ADDvise Group AB (publ),549300C17TZXE1IEOA66,2024-11-07,0.79
Bravida Holding AB,549300H88IJGPNNL3T61,2024-11-12,0.81
G5 Entertainment AB (publ),549300K7QJ1N1FEG2X81,2024-11-12,1.97
RVRC Holding AB,549300YU7003VHQV3J57,2024-11-12,2.06
aXichem AB (publ),549300REE3038LIBWS21,2024-10-15,0.14
Thule Group AB,549300XHHOGBOERKU333,2024-11-11,3.03
Truecaller AB,549300TEYF1FA5G5GK26,2024-11-12,6.01
Bilia AB,2138002GW5WN1UYZAO32,2024-11-12,0.53
INTERNATIONAL PETROLEUM CORPORATION,54930025D80LU0SMR645,2024-11-12,0.46
Betsson AB,549300W61XW8OFGBG077,2024-11-12,2.28
Addtech AB,549300QZ5U2IDRHPWL60,2024-10-16,1.44
Attendo AB (publ),549300KEJDL2FNITUW65,2024-11-12,1.35
Cloetta AB,549300CSLHPO6Y1AZN37,2024-10-31,1.42
Ambea AB ( publ ),549300AEVNZRHYI5HV24,2024-11-12,0.49
Nordic Paper Holding AB,549300IA1EP1W7DZP567,2024-11-12,0.4
Oncopeptides AB,549300J9WWQ5CBYQ1M77,2024-11-12,1.24
Swedish Orphan Biovitrum AB (publ),549300124Y3MQI87PT35,2024-11-06,2.56
Skandinaviska Enskilda Banken AB,F3JS33DEI6XQ4ZBPTN86,2024-11-12,0.96
CTT Systems AB,549300AG5CO2JWUJQ994,2024-11-12,0.1
VEF AB (publ),549300GLLHHE80RQ2Y24,2024-11-12,0.2
Hexagon Aktiebolag,549300WJFW6ILNI4TA80,2024-11-12,0.59
Xbrane Biopharma AB,5493008DKD05APTKQO39,2024-10-31,2.22
W5 Solutions AB (publ),549300JKE3X3UFP08232,2024-10-29,0.29
Wallenstam AB,21380081R2P9MKFQBD25,2024-11-11,2.83
Storskogen Group AB (publ),549300DL3K4HLJ41KD24,2024-11-11,1.21
Rusta AB (publ),549300V512S3QMRNO618,2024-11-12,0.59
Epiroc Aktiebolag,5493004Q73OEYW1SPE91,2024-11-11,2.05
Telia Company AB,213800FSR9RNDUOTXO25,2024-10-31,2.3
KAMBI GROUP PLC,2138003TN71ZS4RHIJ87,2024-11-11,1.26
BioGaia AB,549300UBUJOY2L7TT361,2024-11-11,0.76
Sedana Medical AB (publ),549300FQ3NJRI56LCX32,2024-11-08,1.4
Viaplay Group AB (publ),5493006E0IJD0DHJSR89,2024-11-08,2.96
ASSA ABLOY AB,549300YECS8HKCIMMB67,2024-10-23,0.91
BioInvent International Aktiebolag,549300E7QRHEF2IJUY10,2024-10-25,0.19
Concentric AB,5493002G9GMTKIP3PW19,2024-11-08,0.14
SWECO AB (publ),549300Q4Y55VICYV6U90,2024-11-08,0.48
Hufvudstaden AB,213800UEV5ZAFFVQ4J85,2024-11-07,1.72
NCAB Group AB (publ),549300RUPCK2N43ES354,2024-11-08,3.47
Carbiotix AB (publ),549300Z1ETTOG79FVU56,2024-11-08,0.42
Pandox Aktiebolag,549300K4HA8EBLSL3B97,2024-11-07,0.99
Cell Impact AB (publ),549300PS6XPVP3MP2W76,2024-11-08,0.72
Prevas Aktiebolag,5493007FF9DNP5DUJQ78,2024-11-07,0.5
Hoist Finance AB (publ),549300NPK3FB2BEL4D08,2024-10-30,1.29
Vitec Software Group AB (publ),5493005EB5RV1QHE6H94,2024-11-07,2.93
Svenska Handelsbanken AB,NHBDILHZTYCNBV5UYZ31,2024-11-07,1.82
HEXPOL AB,549300MN30TBRLYN3465,2024-11-07,0.79
Gränges AB,5493006UG44TYSIXOB13,2022-07-01,0.1
Camurus AB,5493003S6Z6VI7WYFQ06,2024-11-07,1.31
Arise AB,549300FOT7EE85QYB655,2021-05-17,0.17
SpectraCure AB (publ),549300U3BMSZ5VGYC283,2024-11-06,0.5
OptiCept Technologies AB,549300NRD3YRN5X6RL95,2024-11-07,1.25
NCC Aktiebolag,213800WRGLW3CY4MHW53,2024-11-06,1.01
Ratos AB,2138008KECUUB9VR4798,2024-03-25,0.56
Swedbank AB,M312WZV08Y7LYUC71685,2024-11-06,1.74
Lindab International AB,54930085MH6IRQ1JP227,2024-11-06,1.34
BONESUPPORT HOLDING AB,549300COLY053IGTLD63,2024-11-06,1.07
Vicore Pharma Holding AB,549300KTNBPTZLF01130,2024-11-06,0.8
Terranet Holding AB,549300B4CGWDK6FGRY73,2024-11-06,0.38
Acconeer AB,549300QTX5BP5V02EK37,2021-11-15,0.17
NP3 Fastigheter AB,549300MGVITW8GYJHZ50,2024-11-06,0.25
Q-linea AB,549300BXVB4XRM8WSC73,2024-11-06,0.94
Aktiebolaget Industrivärden,549300TM1DLIQI3B3T37,2024-11-05,1.37
Alleima AB,529900EBHTYGLA6PGP77,2024-09-06,0.58
Mycronic AB (publ),549300S5CCFESE4C6Y07,2021-07-08,0.64
Scandic Hotels Group AB,529900JY9ZBGUXGRKQ86,2024-11-05,3.96
Sprint Bioscience AB,5493006ED74WIIQOKC56,2024-11-05,0.19
Saniona AB,549300XO4L9XNOCFCZ84,2024-08-15,0.49
Biotage AB,529900SR87NBUKX74L58,2024-11-04,0.49
Netel Group Holding AB,8945008LXPHO95822B45,2024-07-17,0.29
Fabege AB,549300JNPI46XNH0PM97,2024-11-01,1.64
Clas Ohlson Aktiebolag,549300MH8OETHBBKJU80,2024-11-01,1.71
Dustin Group AB,549300C3IRYAOWOT0783,2024-11-04,1.34
Isofol Medical AB (publ),549300MCXYAHG7VBHX75,2024-11-04,1.01
Paradox Interactive AB (publ),529900QNSZUY53R5WW95,2024-11-04,0.82
Atrium Ljungberg AB,5493001NNP6HM67OVU09,2024-11-01,0.75
Electrolux Professional AB (publ),254900KI62Q46ZWD8084,2024-11-01,2.14
Bufab AB (publ),5493002TF62S16D67T17,2024-11-04,0.61
Lumito AB (publ),549300RQJ5YP5SU5BB17,2024-11-01,1.1
Nyfosa AB,5493000YR2B83SILCJ50,2024-10-18,0.78
JonDeTech Sensors AB (publ),5493002PSECKYPFFZY39,2024-09-18,0.24
VNV Global AB (publ),549300ONMNSTOBAU0S14,2024-10-15,0.86
AddLife AB,5493005T3M7CD7XWE013,2024-10-31,1.33
BHG Group AB,549300ZLCWL2QTO3HR86,2024-10-28,1.35
Lagercrantz Group Aktiebolag,5493002L6I4YHANEYR87,2024-10-30,0.6
HMS Networks AB,549300MOY2FDUUDIQ179,2024-10-21,2.74
AB Sagax,549300LJX28T6OM8DT95,2024-10-30,0.79
SECTRA Aktiebolag,549300R9ZBT8YSFFK266,2024-10-30,0.71
Metacon AB (publ),549300SDRD0FYQWN2531,2024-10-31,0.51
Crunchfish AB,549300SCGCKME2FXVY03,2024-10-31,1.23
SkiStar Aktiebolag,529900CD7HSJ1CZS7089,2024-10-11,0.7
GARO Aktiebolag,549300RKWROUEEV6VP74,2024-10-29,2.76
Diamyd Medical Aktiebolag,5493003NP2HNQDEKB804,2024-10-28,0.39
Orexo AB,549300LJ5CCWDPTK9Z08,2024-10-28,1.77
Anoto Group AB,54930036ZLGZG0G19M24,2024-10-28,0.53
B3 Consulting Group AB (publ),549300DY2G2PN6NAI688,2024-10-18,0.19
Vitrolife AB,5493001WDZMONMSPPR49,2024-10-24,1.57
Hemnet Group AB (publ),5493008VIU67J3HUAR07,2024-06-11,0.42
Soltech Energy Sweden AB (publ),549300RFE1X384DWQW10,2024-07-12,0.47
Inwido AB (publ),529900A9NKQW5UTHBG13,2020-07-10,0.86
Indutrade Aktiebolag,549300FISLQ6CEFP1867,2024-10-23,0.72
Troax Group AB (publ),5493003TBEWGBIEG1X97,2024-10-22,0.47
Lifco AB (publ),549300RTLL4VDQRCTW41,2024-10-21,1.12
Vimian Group AB,549300OQ8R5TCAP0BS18,2024-09-19,0.1
KINDRED GROUP PLC,213800D1MJVOT6SNBX11,2024-08-14,1.73
CATENA MEDIA P.L.C,549300609A73DL5C5Z86,2024-06-25,1.09
RaySearch Laboratories AB (publ),549300TYFVYGS0JFWM28,2021-11-11,0.54
Fasadgruppen Group AB (publ),549300E24LG2Z7KCFQ23,2024-10-09,0.21
Bulten AB,549300HUR75YN61F4108,2024-10-09,0.21
Glycorex Transplantation AB (publ),549300BFHBYZ3X96EP25,2024-10-09,0.46
Cereno Scientific AB,549300VX8KTMYDS6NM84,2024-10-09,0.41
MilDef Group AB,9845009F7Q0D56B38270,2024-10-07,0.2
SaltX Technology Holding AB (publ),549300W31010S0FY9U64,2024-10-07,0.52
OX2 AB (publ),549300DSDIWP6USPXU21,2024-04-26,0.11
Impact Coatings AB (publ),549300FYU5MJQU32ZU47,2021-11-09,0.19
OssDsign AB,5493005SNS5NAYE2WL53,2024-10-04,0.3
Thunderful Group AB,549300EZJZK1ZXOU9I27,2021-05-18,0.18
Acarix AB,549300KP2XS4513DEI67,2024-08-22,0.23
Climeon AB (publ),549300JILS52HE40MQ24,2024-01-11,0.29
Egetis Therapeutics AB (publ),549300RZCKGWRUBPMY22,2024-10-01,0.82
Oscar Properties Holding AB,549300NZI620CFL1TR88,2024-08-22,0.93
Platzer Fastigheter Holding AB (publ),5493009KPII4BZE70820,2024-09-30,0.1
Midsummer AB,549300ZOWFLNDFSHNB56,2021-11-24,0.19
Genovis Aktiebolag,549300T5KGFRYR7ZST20,2024-08-20,0.32
Enzymatica AB (publ),529900HNJP0335URJQ76,2024-06-24,0.19
K-Fast Holding AB,549300VT0UXKWES37P59,2024-09-04,0.39
Byggmax Group AB,549300MPJPYQB0KCNH03,2024-08-30,0.54
Solid Försäkringsaktiebolag,529900JIV2O9HEPWIN77,2024-09-26,0.45
Diös Fastigheter AB,549300G3VF7LZQ9IW435,2024-09-26,0.19
Nolato Aktiebolag,213800T7T7I7WAOX8Y72,2023-02-15,0.39
Tethys Oil AB,549300WI3UNWMNQDVQ18,2021-08-25,0.49
Swedencare AB (publ),549300FZT7YIF6SWX789,2024-09-25,0.86
MAHA ENERGY AB,213800USNX47LQFQQN20,2024-09-23,0.59
Synsam AB (publ),5493000TMEGW9DHNOQ70,2024-09-23,0.19
engcon AB,549300EMZ2B768S85S50,2024-09-16,0.79
Intellego Technologies AB,549300KTMO4X275LNL41,2024-09-16,0.22
Calliditas Therapeutics AB,549300PVPZO8TNT76B58,2022-02-14,0.34
Resurs Holding AB (publ),5493006KHWZ6OVF3IO54,2020-04-30,0.18
Peab AB,549300FQS4VD3153I854,2024-09-09,0.48
Elanders AB,5493009S961JPI21WN66,2024-09-04,0.3
