Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
Squarepoint Ops LLC,COMPUTACENTER PLC,GB00BV9FP302,0.59,2024-11-01
ActusRayPartners Limited,CREST NICHOLSON HOLDINGS PLC,GB00B8VZXT93,0.6,2024-10-09
"AQR Capital Management, LLC",CRODA INTERNATIONAL PLC,GB00BJFFLV09,0.5,2024-09-20
AHL Partners LLP,CVS Group Plc,GB00B2863827,0.61,2024-11-11
GLG Partners LP,CVS Group Plc,GB00B2863827,0.65,2024-10-04
WorldQuant LLC,Dalata Hotel Group PLC,IE00BJMZDW83,0.5,2024-11-11
"Saba Capital Management, L.P.",DE LA RUE PLC,GB00B3DGH821,0.87,2024-10-15
Clearance capital Ltd,DERWENT LONDON PLC,GB0002652740,0.7,2024-06-28
Qube Research & Technologies Limited,DERWENT LONDON PLC,GB0002652740,0.58,2024-11-05
GLG Partners LP,DFS FURNITURE PLC,GB00BTC0LB89,0.66,2024-03-04
Qube Research & Technologies Limited,DIRECT LINE INSURANCE GROUP PLC,GB00BY9D0Y18,0.71,2024-11-12
GLG Partners LP,DISCOVERIE GROUP PLC,GB0000055888,1.3,2024-10-25
Adage Capital Management L.P.,DIVERSIFIED ENERGY COMPANY PLC,GB00BQHP5P93,0.66,2023-03-01
"Arrowstreet Capital, Limited Partnership",DIVERSIFIED ENERGY COMPANY PLC,GB00BQHP5P93,1.75,2024-10-30
Bridgewater Associates LP,DIVERSIFIED ENERGY COMPANY PLC,GB00BQHP5P93,0.78,2024-11-13
JPMorgan Asset Management (UK) Ltd,DIVERSIFIED ENERGY COMPANY PLC,GB00BQHP5P93,0.59,2024-11-12
Millennium International Management LP,DIVERSIFIED ENERGY COMPANY PLC,GB00BQHP5P93,0.69,2024-11-05
Qube Research & Technologies Limited,DIVERSIFIED ENERGY COMPANY PLC,GB00BQHP5P93,0.91,2024-11-12
Voleon Capital Management LP,DIVERSIFIED ENERGY COMPANY PLC,GB00BQHP5P93,0.98,2024-11-06
Wellington Management International Ltd,DIVERSIFIED ENERGY COMPANY PLC,GB00BQHP5P93,0.58,2024-11-14
WorldQuant LLC,DIVERSIFIED ENERGY COMPANY PLC,GB00BQHP5P93,0.78,2024-10-22
Fosse Capital Partners LLP,DOMINO'S PIZZA GROUP PLC,GB00BYN59130,1.2,2023-11-14
GLG Partners LP,DOMINO'S PIZZA GROUP PLC,GB00BYN59130,1.6,2024-10-02
Marshall Wace LLP,DOMINO'S PIZZA GROUP PLC,GB00BYN59130,1.0,2024-11-13
Kontiki Capital Management (HK) Limited,Dowlais Group plc,GB00BMWRZ071,0.5,2024-07-15
Ennismore Fund Management Limited,DR. MARTENS PLC,GB00BL6NGV24,0.51,2024-04-18
Marshall Wace LLP,DRAX GROUP PLC,GB00B1VNSX38,1.28,2024-10-30
Qube Research & Technologies Limited,EASYJET PLC,GB00B7KR2P84,0.69,2024-11-12
Marshall Wace LLP,EMPIRIC STUDENT PROPERTY PLC,GB00BLWDVR75,0.5,2024-11-12
"Arrowstreet Capital, Limited Partnership",Energean Oil & Gas PLC,GB00BG12Y042,0.59,2024-11-14
"Connor, Clark & Lunn Investment Management Ltd",Energean Oil & Gas PLC,GB00BG12Y042,0.5,2024-10-17
GLG Partners LP,Energean Oil & Gas PLC,GB00BG12Y042,0.8,2024-10-09
Qube Research & Technologies Limited,Energean Oil & Gas PLC,GB00BG12Y042,0.9,2024-10-28
"AQR Capital Management, LLC",Entain PLC,IM00B5VQMV65,0.59,2024-10-31
Marshall Wace LLP,Entain PLC,IM00B5VQMV65,0.5,2024-11-11
"Arrowstreet Capital, Limited Partnership",ESSENTRA PLC,GB00B0744359,0.5,2023-11-28
JPMorgan Asset Management (UK) Ltd,ESSENTRA PLC,GB00B0744359,0.7,2024-10-24
Marshall Wace LLP,ESSENTRA PLC,GB00B0744359,0.5,2024-11-01
Marshall Wace LLP,Evoke plc,GI000A0F6407,0.6,2024-11-11
Millennium International Management LP,Evoke plc,GI000A0F6407,0.74,2024-11-14
Qube Research & Technologies Limited,Evoke plc,GI000A0F6407,0.9,2024-11-14
ActusRayPartners Limited,FD Technologies,GB0031477770,0.59,2024-07-25
JPMorgan Asset Management (UK) Ltd,FD Technologies,GB0031477770,1.67,2024-09-24
Qube Research & Technologies Limited,FD Technologies,GB0031477770,0.5,2024-08-01
"Arrowstreet Capital, Limited Partnership",Fevertree Drinks,GB00BRJ9BJ26,0.5,2024-11-07
JPMorgan Asset Management (UK) Ltd,Fevertree Drinks,GB00BRJ9BJ26,0.86,2024-10-22
BlackRock Investment Management (UK) Limited,Focusrite,GB00BSBMW716,0.62,2024-11-07
ActusRayPartners Limited,FORTERRA PLC,GB00BYYW3C20,0.59,2024-07-31
AHL Partners LLP,FUTURE PLC,GB00BYZN9041,0.59,2024-10-24
Marshall Wace LLP,FUTURE PLC,GB00BYZN9041,1.2,2024-11-07
Mirabella Financial Services LLP,FUTURE PLC,GB00BYZN9041,0.5,2024-11-11
Qube Research & Technologies Limited,FUTURE PLC,GB00BYZN9041,0.58,2024-11-08
GLG Partners LP,GENUS PLC,GB0002074580,0.79,2024-11-05
JPMorgan Asset Management (UK) Ltd,GENUS PLC,GB0002074580,0.68,2024-10-21
Marshall Wace LLP,GENUS PLC,GB0002074580,0.5,2024-10-04
Qube Research & Technologies Limited,GULF KEYSTONE PETROLEUM ORD,BMG4209G2077,0.5,2024-08-06
GLG Partners LP,HALFORDS GROUP PLC,GB00B012TP20,1.28,2024-11-05
Marshall Wace LLP,HALFORDS GROUP PLC,GB00B012TP20,0.61,2024-10-30
Caxton Europe LLP,HAMMERSON PLC,GB00BRJQ8J25,1.1,2023-08-08
"Maverick Capital, Ltd.",HAMMERSON PLC,GB00BRJQ8J25,0.67,2024-04-08
Qube Research & Technologies Limited,HAYS PLC,GB0004161021,0.99,2024-10-09
Fraser John Perring,Home REIT PLC,GB00BJP5HK17,0.82,2022-11-22
Marshall Wace LLP,HUNTING PLC,GB0004478896,0.6,2024-11-13
Marshall Wace LLP,IBSTOCK PLC,GB00BYXJC278,0.6,2024-10-23
AKO Capital LLP,IMI PLC,GB00BGLP8L22,1.21,2024-11-07
GLG Partners LP,Impax Asset Management Group PLC,GB0004905260,1.04,2024-11-06
JPMorgan Asset Management (UK) Ltd,Impax Asset Management Group PLC,GB0004905260,0.9,2024-09-26
"Arrowstreet Capital, Limited Partnership",INDIVIOR PLC,GB00BN4HT335,0.55,2024-11-08
Numeric Investors LLC,INDIVIOR PLC,GB00BN4HT335,0.71,2024-11-14
Qube Research & Technologies Limited,INDIVIOR PLC,GB00BN4HT335,1.2,2024-11-14
"Sessa Capital IM, L.P.",International Distribution Services plc,GB00BDVZYZ77,0.94,2024-06-05
GLG Partners LP,International Workplace Group plc,JE00BYVQYS01,0.59,2024-05-16
JPMorgan Asset Management (UK) Ltd,International Workplace Group plc,JE00BYVQYS01,0.55,2024-08-29
GSA Capital Partners LLP,IOG PLC,GB00BF49WF64,1.18,2023-09-14
Ennismore Fund Management Limited,ITM Power PLC,GB00B0130H42,0.67,2024-11-07
Helikon Investments Limited,ITM Power PLC,GB00B0130H42,2.91,2024-02-13
